訂單ID,訂單號,下訂時間,付款時間,運費,訂單總額,order_key,幣種,付款方式,付款方式,交易編號(填銀行卡號),客戶IP位置,客戶ID,客戶用戶,客戶信箱,客戶名,客戶姓,公司名,信箱,電話,地址,郵政編碼,國家,客戶備註,wt_import_key,運送品項,fee_items,訂單備註,line_item_1
14,14,"2022-05-05 11:02:44",,0,45.00,wc_order_cQjuVkAUnzf4z,USD,cod,货到付款,,180.214.182.245,1,1,info@water168.shop,test,test,,info@water168.shop,142231213,test,12312,TW,,14,,,"content:交货时支付。 订单状态由 待付款 变更为 正在处理 。|date:2022-05-05 11:02:45|customer:|added_by:system",name:測試|product_id:12|sku:|quantity:1|total:45.00|sub_total:45.00
17,17,"2022-05-05 23:53:38",,0,45.00,wc_order_6OyGWixEtjsxC,USD,cod,货到付款,,124.6.8.81,0,0,,brtebet,ersbbetrebrtsetbr,etbrsbertebrsttbe,awvere@awrb.ware,145135124,vrwrvawevr,123,TW,,17,,,"content:交货时支付。 订单状态由 待付款 变更为 正在处理 。|date:2022-05-05 23:53:39|customer:|added_by:system",name:測試|product_id:12|sku:|quantity:1|total:45.00|sub_total:45.00
18,18,"2022-05-05 23:53:56",,0,45.00,wc_order_sMs5DoUbTQA5U,USD,cod,货到付款,,114.41.136.158,0,0,,ASS,SDD,,wwww@wewee.com,121231232131313,SFAF,44444,US,,18,,,"content:交货时支付。 订单状态由 待付款 变更为 正在处理 。|date:2022-05-05 23:53:56|customer:|added_by:system",name:測試|product_id:12|sku:|quantity:1|total:45.00|sub_total:45.00
19,19,"2022-05-06 00:27:50",,0,90.00,wc_order_XG597C6DXid1C,USD,cod,货到付款,,114.41.136.158,0,0,,ASS,SDD,,wwww@wewee.com,121231232131313,SFAF,44444,US,,19,,,"content:交货时支付。 订单状态由 待付款 变更为 正在处理 。|date:2022-05-06 00:27:51|customer:|added_by:system",name:測試|product_id:12|sku:|quantity:2|total:90.00|sub_total:90.00
21,21,"2022-05-09 00:09:21",,0,45.00,wc_order_O1GbKs66Dx2r1,USD,cod,货到付款,,36.234.39.140,2,2,123@123.123,ad,asda,,123@123.123,111221212,"550 Newhall Dr, San Jose",95110,US,,21,,,"content:交货时支付。 订单状态由 待付款 变更为 正在处理 。|date:2022-05-09 00:09:22|customer:|added_by:system",name:測試|product_id:12|sku:|quantity:1|total:45.00|sub_total:45.00
25,25,"2022-05-14 04:12:45",,0,100.00,wc_order_B6P8GSp0BVQtR,USD,bacs,银行汇款,,124.6.8.81,2,2,123@123.123,ad,asda,,123@123.123,111221212,"550 Newhall Dr, San Jose",95110,US,,25,,,"content:等待跨行转帐付款 订单状态由 待付款 变更为 保留 。|date:2022-05-14 04:12:46|customer:|added_by:system",name:CPU|product_id:24|sku:|quantity:1|total:100.00|sub_total:100.00
712,712,"2022-05-21 12:19:00","2022-05-21 4:22:00",100,100.00,order_6287b3f86468a,CNY,,cash,,192.168.1.1,0,0,,,,,8888@hotmail.com,0987878787,EE,12345,AA,ABCD,712,,,,
713,713,"2022-05-21 12:19:00","2022-05-21 4:22:00",100,103.00,order_6287b3f8c5239,CNY,cash,,,192.168.1.1,0,0,,,,,6666@hotmail.com,0987878787,EE,12345,AA,,713,,,,
714,714,"2022-05-21 12:19:00","2022-05-21 4:22:00",100,100.00,order_6287b3f92a1bf,CNY,TT,TT,,192.168.1.1,0,0,,,,,9999@hotmail.com,0987878787,,,,,714,,,,
715,715,"2019-05-06 12:19:00","2019-05-12 4:22:00",10,209.00,order_6287b4114ebb1,EUR,eh_stripe_pay,Stripe,ch_1JFt7HqeFJw3fiiIvzhzEuXjBn2gt,126.93.83.35,2,2,123@123.123,Cecilia,Chapman,Webtoffee,cecilia@webtoffee.com,"(257) 563-7401","Nulla St.",96522,US,"Have a nice day!",715,"items:Batman Toy &times; 1|method_id:|taxes:flat_rate",,"content:Payment to be made upon delivery. Order status changed from Pending payment to Processing.|date:2019-05-12 12:19:08|customer:|added_by:system","name:Batman Toy|product_id:0|sku:|quantity:1|total:200.00|sub_total:200.00"
716,716,"2022-05-21 12:19:00","2022-05-21 4:22:00",100,100.00,order_6287b41219885,CNY,,cash,,192.168.1.1,0,0,,,,,8888@hotmail.com,0987878787,EE,12345,AA,ABCD,716,,,,
717,717,"2022-05-21 12:19:00","2022-05-21 4:22:00",100,103.00,order_6287b4128c565,CNY,cash,,,192.168.1.1,0,0,,,,,6666@hotmail.com,0987878787,EE,12345,AA,,717,,,,
718,718,"2022-05-21 12:19:00","2022-05-21 4:22:00",100,100.00,order_6287b4130e4e4,CNY,TT,TT,,192.168.1.1,0,0,,,,,9999@hotmail.com,0987878787,,,,,718,,,,
